problem_id,run_id,reference_status,generated_status,reference_objective,generated_objective,relative_error,primary_label,secondary_labels,patch_type,patch_text,workflow_status,analysis_cycles_used,patch_refinement_attempts_used,expert_final_primary_label,expert_review_confidence,ref_n_sets,ref_n_params,ref_n_vars,ref_n_objectives,ref_n_constraints_decl,gen_n_sets,gen_n_params,gen_n_vars,gen_n_objectives,gen_n_constraints_decl,diff_n_sets,diff_n_params,diff_n_vars,diff_n_objectives,diff_n_constraints_decl,human_validation
10,run_1,optimal,optimal,150,166,0.106666667,DATA-SET-DEFINITION,MODEL-COMPONENT-MISMATCH,data,"In the generated data file, change the line `set VALS := 0 1 2 3 4 5 6;` to `set VALS := 0 1 2 3 4 5;`.",completed,1,1,DATA-SET-DEFINITION,1,1,6,1,1,0,1,5,1,1,3,0,-1,0,0,3,FALSE
10,run_2,optimal,unknown,150,,,MODEL-COMPONENT-MISMATCH,DATA-PARAM-MAP,multiple,"param K := 5;
set VALS := 0..K;

param ExpectedZ := 3;
param ExpectedZSquared := 10;

var p {k in VALS} >= 0;

s.t. ProbMass:
  sum {k in VALS} p[k] = 1;

s.t. Mean:
  sum {k in VALS} k * p[k] = ExpectedZ;

s.t. SecondMoment:
  sum {k in VALS} k^2 * p[k] = ExpectedZSquared;

maximize UpperFourthMoment:
  sum {k in VALS} k^4 * p[k];",completed,2,1,MODEL-COMPONENT-MISMATCH,1,1,6,1,1,0,0,0,0,0,0,-1,-6,-1,-1,0,FALSE
10,run_3,optimal,optimal,150,166,0.106666667,DATA-PARAM-MAP,VAR-INDEX-SET,data,param K := 5;,completed,1,1,DATA-PARAM-MAP,1,1,6,1,1,0,1,3,1,1,3,0,-3,0,0,3,FALSE
10,run_4,optimal,optimal,150,166,0.106666667,VAR-INDEX-SET,MODEL-COMPONENT-MISMATCH,data,"In the generated data file, replace 'set VALS := 0 1 2 3 4 5 6;' with 'set VALS := 0..5;' and 'param K := 6;' with 'param K := 5;'.",completed,1,2,VAR-INDEX-SET,1,1,6,1,1,0,1,6,1,1,3,0,0,0,0,3,FALSE
10,run_5,optimal,optimal,150,166,0.106666667,DATA-PARAM-MAP,,data,"In the generated data file, change `param K := 6;` to `param K := 5;`.",completed,1,2,DATA-PARAM-MAP,1,1,6,1,1,0,1,6,1,1,3,0,0,0,0,3,FALSE
13,run_1,optimal,optimal,1100,1308.333333,0.189393939,CON-FAMILY-EXTRA,,constraint,delete `subject to Final_Inventory: Inventory[T] = 0;`,completed,1,1,CON-FAMILY-EXTRA,1,3,4,3,1,5,3,4,3,1,5,0,0,0,0,0,FALSE
13,run_2,optimal,optimal,1100,2150,0.954545455,CON-INIT-FINAL,VAR-INDEX-SET;CON-INDEX-RANGE;OBJ-INDEX-RANGE,multiple,"- (sum {t in MONTHS} SwitchCost * ProductionChange[t]);
+ (sum {t in 2..T} SwitchCost * ProductionChange[t]);

- subject to Production_Change_Upper {t in MONTHS}:
+ subject to Production_Change_Upper {t in 2..T}:

- subject to Production_Change_Lower {t in MONTHS}:
+ subject to Production_Change_Lower {t in 2..T}:",completed,1,1,CON-INIT-FINAL,1,3,4,3,1,5,2,4,3,1,5,-1,0,0,0,0,FALSE
13,run_3,optimal,optimal,1100,2150,0.954545455,CON-INIT-FINAL,OBJ-TERM-EXTRA;CON-INDEX-RANGE,constraint,subject to Set_Initial_Production: Produce[0] = Produce[1];,completed,1,1,CON-INIT-FINAL,1,3,4,3,1,5,2,6,3,1,5,-1,2,0,0,0,FALSE
13,run_4,optimal,optimal,1100,2150,0.954545455,OBJ-INDEX-RANGE,VAR-INDEX-SET,objective,"In the objective `Total_Cost`, replace `(sum {t in MONTHS} SwitchCost * ProductionChange[t])` with `(sum {t in 2..T} SwitchCost * ProductionChange[t])`.",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,2,6,3,1,5,-1,2,0,0,0,FALSE
13,run_5,optimal,optimal,1100,2275,1.068181818,OBJ-INDEX-RANGE,OBJ-TERM-EXTRA,objective,"minimize Total_Cost:
  (sum {t in 1..T-1} StorageCost * Inventory[t]) +
  (sum {t in 2..T} SwitchCost * ProdChange[t]);",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,2,4,3,1,5,-1,0,0,0,0,FALSE
14,run_1,optimal,optimal,350.45,348,0.006991012,MODEL-DYNAMIC-TO-STATIC,CON-FAMILY-MISSING,multiple,"The model requires a fundamental rewrite to incorporate the multi-period nature of the problem. This involves: 1. Re-introducing a time dimension (e.g., `param K;`, `k in 0..K-1`). 2. Adding a `Hold` variable to track balances over time (`var Hold {CURRENCIES, 0..K}`). 3. Indexing the `Exchange` variable by time (`var Exchange {CURRENCIES, CURRENCIES, 0..K-1}`). 4. Replacing the static `Inventory_Constraint` with dynamic `Balance` and `Available` constraints as seen in the reference model.",completed,1,1,MODEL-DYNAMIC-TO-STATIC,1,1,5,2,1,5,1,4,1,1,3,0,-1,-1,0,-2,FALSE
14,run_2,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,CON-FAMILY-MISSING;DATA-PARAM-MISSING;DATA-PARAM-MAP,multiple,"The model requires a fundamental restructuring to reintroduce the multi-period nature of the problem. This involves: 1. Declaring the parameter `K` for the number of periods and `Target` for the target currency. 2. Replacing `var Trade` and `var Final` with time-indexed variables `var Hold{CURRENCIES, 0..K}` and `var Conv{CURRENCIES, CURRENCIES, 0..K-1}`. 3. Replacing the static constraints with the dynamic `Init`, `Balance`, and `Available` constraints from the reference model.",completed,1,1,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,2,1,3,0,-1,0,0,-2,FALSE
14,run_3,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,CON-FAMILY-MISSING;CON-RHS,multiple,"The model must be reformulated from a single-period to a multi-period structure. This involves: 1. Adding a time dimension (e.g., `param K; ... k in 0..K-1`). 2. Introducing time-indexed variables for holdings and conversions (e.g., `var Hold{CURRENCIES, 0..K}`). 3. Adding a balance constraint to link holdings across time periods (e.g., `Hold[i,k+1] = ...`).",completed,1,2,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,2,1,3,0,-1,0,0,-2,FALSE
14,run_4,optimal,optimal,350.45,348,0.006991012,VAR-MISSING,CON-FAMILY-MISSING;VAR-INDEX-SET;DATA-PARAM-MAP,multiple,"The model must be rewritten to support multiple time periods. This involves: 1. Adding `param K` and time-indexed variables `var Hold{CURRENCIES, 0..K}` and `var Conv{CURRENCIES, CURRENCIES, 0..K-1}`. 2. Replacing the objective with `maximize FinalAmount: Hold[Target, K];`. 3. Adding the `Init` and `Balance` constraints to model the system dynamics over `K` periods.",completed,1,1,VAR-MISSING,1,1,5,2,1,5,1,4,1,1,3,0,-1,-1,0,-2,FALSE
