problem_id,run_id,reference_status,generated_status,reference_objective,generated_objective,relative_error,primary_label,secondary_labels,patch_type,patch_text,workflow_status,analysis_cycles_used,patch_refinement_attempts_used,expert_final_primary_label,expert_review_confidence,ref_n_sets,ref_n_params,ref_n_vars,ref_n_objectives,ref_n_constraints_decl,gen_n_sets,gen_n_params,gen_n_vars,gen_n_objectives,gen_n_constraints_decl,diff_n_sets,diff_n_params,diff_n_vars,diff_n_objectives,diff_n_constraints_decl,human_validation
10,run_1,optimal,optimal,150,166,0.106666667,DATA-DIMENSION,,data,"In the generated data file, replace `set VALS := 0 1 2 3 4 5 6;` with `set VALS := 0 1 2 3 4 5;` and remove the data entries for index 6 from parameters `k1`, `k2`, and `k4`.",completed,1,1,DATA-DIMENSION,1,1,6,1,1,0,1,6,1,1,3,0,0,0,0,3,FALSE
10,run_2,optimal,optimal,150,166,0.106666667,DATA-DIMENSION,,data,set VALS := 0 1 2 3 4 5;,completed,1,1,DATA-DIMENSION,1,1,6,1,1,0,1,5,2,1,4,0,-1,1,0,4,FALSE
10,run_3,optimal,optimal,150,166,0.106666667,DATA-DIMENSION,MODEL-EXTRA-PARAM,data,"In the generated data file, replace `set VALS := 0 1 2 3 4 5 6;` with `set VALS := 0 1 2 3 4 5;` and remove the data for index 6 from the `P`, `k1`, `k2`, and `k4` parameter tables.",completed,1,1,DATA-DIMENSION,1,1,6,1,1,0,1,7,2,1,4,0,1,1,0,4,FALSE
10,run_4,optimal,optimal,150,166,0.106666667,DATA-DIMENSION,VAR-INDEX-SET,data,"In the generated data file, change `set VALS := 0 1 2 3 4 5 6;` to `set VALS := 0 1 2 3 4 5;` and remove the data row for index 6 from the `k1 k2 k4` parameter table.",completed,1,1,DATA-DIMENSION,1,1,6,1,1,0,1,7,3,1,5,0,1,2,0,5,FALSE
10,run_5,optimal,optimal,150,166,0.106666667,DATA-SET-DEFINITION,,data,set VALS := 0 1 2 3 4 5;,completed,1,1,DATA-SET-DEFINITION,1,1,6,1,1,0,1,5,1,1,3,0,-1,0,0,3,FALSE
13,run_2,optimal,optimal,1100,1225,0.113636364,OBJ-INDEX-RANGE,VAR-INDEX-SET;CON-FAMILY-MISSING,objective,"minimize Total_Cost:
sum {t in 1..T-1} (StorageCost * Invent[t])
+ sum {t in 2..T} (SwitchCost * diff[t]);",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,0,4,3,1,4,-3,0,0,0,-1,FALSE
13,run_3,optimal,optimal,1100,1225,0.113636364,OBJ-INDEX-RANGE,VAR-INDEX-SET;CON-INIT-FINAL,objective,"minimize Total_Cost:
sum {t in 1..T-1} (StorageCost * Inventory[t])
+ sum {t in PERIODS2} (SwitchCost * Change[t]);",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,2,4,3,1,4,-1,0,0,0,-1,FALSE
13,run_4,optimal,optimal,1100,1225,0.113636364,OBJ-INDEX-RANGE,CON-INIT-FINAL,objective,"minimize TotalCost:
sum {t in 1..T-1} (StorageCost * Invent[t])
+ sum {t in TIME2} (SwitchCost * diff[t]);",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,2,4,3,1,4,-1,0,0,0,-1,FALSE
13,run_5,optimal,optimal,1100,1225,0.113636364,OBJ-INDEX-RANGE,VAR-INDEX-SET;CON-INIT-FINAL,objective,"minimize TotalCost:
sum {t in 1..T-1} (StorageCost * Invent[t])
+ sum {t in TIME2} (SwitchCost * diff[t]);",completed,1,1,OBJ-INDEX-RANGE,1,3,4,3,1,5,2,4,3,1,4,-1,0,0,0,-1,FALSE
14,run_1,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,VAR-MISSING;CON-FAMILY-MISSING;MODEL-PARAM-MISSING,multiple,"The generated model is a single-period simplification and cannot be fixed with a small patch. It must be replaced with a multi-period formulation like the reference model, reintroducing the time parameter 'K', time-indexed variables 'Hold' and 'Conv', the 'Balance' flow constraint, and setting the objective to maximize 'Hold[Target, K]'.",completed,1,1,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,1,1,3,0,-1,-1,0,-2,FALSE
14,run_2,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,VAR-MISSING;CON-FAMILY-MISSING,multiple,"The model must be rewritten to incorporate the multi-period structure. This involves: 1. Re-introducing the time index `k in 0..K` and the parameter `K`. 2. Declaring the time-dependent variables `Hold[CURRENCIES, 0..K]` and `Conv[CURRENCIES, CURRENCIES, 0..K-1]`. 3. Re-implementing the `Balance` constraint to link holdings across time periods. 4. Setting the objective to `maximize Hold[Target, K]`.",completed,1,1,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,1,1,1,0,-1,-1,0,-4,FALSE
14,run_3,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,CON-FAMILY-MISSING;CON-RHS,multiple,"1. Add `param K` and set K to 2 in the data.
2. Replace `x[i,j]` with `x[i,j,k]` and add `Hold[i,k]`.
3. Maximize `Hold[N,K]` and initialize `Hold[i,0]` from `start[i]`.
4. Add no-self, period-availability, and inter-period balance constraints.
5. Replace the fixed `start[i]` availability bound with `Hold[i,k]`.
6. Apply each `limit[i]` to total outgoing exchanges over both periods.",completed,1,2,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,1,1,2,0,-1,-1,0,-3,TRUE
18,run_2,optimal,optimal,10305.11226,10224.17391,0.007854194,CON-COEFF,VAR-BOUNDS,constraint,"In constraint Raise_K, change the term `CurrentPrice[i] - TransactionRate` to `CurrentPrice[i] * (1 - TransactionRate)` to correctly model the transaction cost as a rate.",completed,1,2,CON-COEFF,1,1,7,1,1,1,1,8,1,1,2,0,1,0,0,1,FALSE
18,run_3,optimal,optimal,10305.11226,10224.17391,0.007854194,CON-COEFF,DATA-SCALE-UNIT,constraint,"subject to CashRequirement:
    sum {i in ASSETS} ((CurrentPrice[i] * (1 - TransactionRate) - (TaxRate/100) * (CurrentPrice[i] - BuyPrice[i])) * Sell[i]) >= K;",completed,1,2,CON-COEFF,1,1,7,1,1,1,1,8,1,1,1,0,1,0,0,0,FALSE
19,run_1,optimal,unknown,107842.5926,,,CON-INDEX-RANGE,CON-FAMILY-MISSING;CON-FAMILY-EXTRA;VAR-EXTRA,multiple,"1. Replace `subject to StorageLimit {m in MONTHS}: sum {i in OILS} Stock[m,i] <= storage_size;` with `subject to StorageLimit {m in MONTHS, i in OILS}: Stock[m,i] <= storage_size;`. 2. Add `subject to EndStock {i in OILS}: Stock[NumMonths,i] = init_amount;`. 3. Remove the `InUse` variable and the `MinUsage`, `MaxUsage`, and `Dependency` constraints.",completed,1,1,CON-INDEX-RANGE,1,2,14,3,1,7,2,16,4,1,10,0,2,1,0,3,FALSE
19,run_2,optimal,unknown,107842.5926,,,CON-INDEX-RANGE,CON-FAMILY-MISSING;CON-FAMILY-EXTRA,multiple,"subject to StorageCapacity {m in MONTHS, i in OILS}: inv[m, i] <= storage_size;
subject to EndStock {i in OILS}: inv[NumMonths, i] = init_amount;
# The following constraints should be removed from the generated model:
# - subject to StorageCapacity {m in MONTHS}: sum {i in OILS} inv[m, i] <= storage_size;
# - subject to MinUsage {m in MONTHS}: sum {i in OILS} use[m, i] >= min_usage;
# - subject to Dependency {m in MONTHS, i in OILS, j in OILS: dependencies[i, j] = 1}: use[m, i] <= use[m, j];",completed,2,1,CON-INDEX-RANGE,1,2,14,3,1,7,2,15,3,1,9,0,1,0,0,2,FALSE
19,run_3,optimal,unknown,107842.5926,,,CON-INDEX-RANGE,CON-FAMILY-MISSING;DATA-PARAM-MAP;CON-FAMILY-EXTRA,multiple,"# In model file, remove params `min_usage`, `dependencies` and constraints `MinUse`, `DepConstr`.
# Replace `subject to StorageLim {m in MONTHS}: sum {i in OILS} Inv[m,i] <= storage_size;` with `subject to StorageLim {m in MONTHS, i in OILS}: Inv[m,i] <= storage_size;`.
# Add `subject to EndStock {i in OILS}: Inv[T,i] = init_amount;`.
# In data file, set `max_vegetable_refining_per_month := 200;` and `max_non_vegetable_refining_per_month := 250;`.",completed,4,1,CON-INDEX-RANGE,1,2,14,3,1,7,2,15,3,1,9,0,1,0,0,2,FALSE
19,run_4,optimal,optimal,107842.5926,326000,2.022924358,CON-FAMILY-MISSING,DATA-PARAM-MAP;VAR-EXTRA;CON-FAMILY-EXTRA,multiple,"# In the model file, add the missing EndStock constraint:
subject to EndStock {i in OILS}: Store[M,i] = init_amount[i];

# In the data file, correct the swapped refining capacity parameters:
param max_vegetable_refining_per_month := 200;
param max_non_vegetable_refining_per_month := 250;",completed,2,1,CON-FAMILY-MISSING,1,2,14,3,1,7,2,15,4,1,8,0,1,1,0,1,FALSE
